cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2003,5125,Víctimas
0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2004,4095,Víctimas
0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2005,4615,Víctimas
0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2006,4877,Víctimas
0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2007,4820,Víctimas
0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2008,4875,Víctimas
0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2009,4797,Víctimas
0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2010,4165,Víctimas
0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2011,4520,Víctimas
0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2012,3909,Víctimas
0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2013,3250,Víctimas
0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2014,3577,Víctimas
0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2015,3233,Víctimas
0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2016,3590,Víctimas
0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2017,3236,Víctimas
0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2018,2575,Víctimas
0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2019,2703,Víctimas
0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2020,2232,Víctimas
0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2021,3704,Víctimas
0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2022,4077,Víctimas
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1997,42,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1998,35,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1999,82,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2000,88,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2001,75,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2002,66,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2003,69,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2004,64,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2005,88,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2006,123,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2007,136,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2008,59,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2009,82,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2010,82,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2011,126,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2012,104,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2013,50,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2014,41,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2015,42,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2016,66,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2017,82,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2018,82,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2019,94,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2020,205,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2021,202,Accidentes
1,Canatlán,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2022,222,Accidentes
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,1997,0,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,1998,1,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,1999,4,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,2000,2,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,2001,1,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,2002,2,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,2003,2,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,2004,0,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,2005,0,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,2006,1,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,2007,4,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,2008,0,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,2009,11,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,2010,2,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,2011,5,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,2012,5,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,2014,1,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,2015,6,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,2016,2,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,2017,1,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,2018,3,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,2019,4,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,2020,4,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,2021,2,Víctimas
1,Canatlán,6200009438,Víctimas muertas en los accidentes de tránsito,2022,2,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,1997,21,Víctimas
1,Canatlán,6200009439,Víctimas heridas en los accidentes de tránsito,1998,2,Víctimas
